start_time,end_time,start_time_iso,end_time_iso,amount_value,amount_currency,line_item,project_id,organization_id,organization_name
1752451200,1752537600,2025-07-14T00:00:00+00:00,2025-07-15T00:00:00+00:00,,,,,,
1752537600,1752624000,2025-07-15T00:00:00+00:00,2025-07-16T00:00:00+00:00,,,,,,
1752624000,1752710400,2025-07-16T00:00:00+00:00,2025-07-17T00:00:00+00:00,,,,,,
1752710400,1752796800,2025-07-17T00:00:00+00:00,2025-07-18T00:00:00+00:00,,,,,,
1752796800,1752883200,2025-07-18T00:00:00+00:00,2025-07-19T00:00:00+00:00,,,,,,
1752883200,1752969600,2025-07-19T00:00:00+00:00,2025-07-20T00:00:00+00:00,,,,,,
1752969600,1753056000,2025-07-20T00:00:00+00:00,2025-07-21T00:00:00+00:00,0.010565499999999999,usd,,,org-R3P9npFHsSRKutso3pUsA8rt,Personal
1753056000,1753142400,2025-07-21T00:00:00+00:00,2025-07-22T00:00:00+00:00,,,,,,
1753142400,1753228800,2025-07-22T00:00:00+00:00,2025-07-23T00:00:00+00:00,,,,,,
1753228800,1753315200,2025-07-23T00:00:00+00:00,2025-07-24T00:00:00+00:00,,,,,,
1753315200,1753401600,2025-07-24T00:00:00+00:00,2025-07-25T00:00:00+00:00,,,,,,
1753401600,1753488000,2025-07-25T00:00:00+00:00,2025-07-26T00:00:00+00:00,,,,,,
1753488000,1753574400,2025-07-26T00:00:00+00:00,2025-07-27T00:00:00+00:00,,,,,,
1753574400,1753660800,2025-07-27T00:00:00+00:00,2025-07-28T00:00:00+00:00,,,,,,
1753660800,1753747200,2025-07-28T00:00:00+00:00,2025-07-29T00:00:00+00:00,,,,,,
1753747200,1753833600,2025-07-29T00:00:00+00:00,2025-07-30T00:00:00+00:00,,,,,,
1753833600,1753920000,2025-07-30T00:00:00+00:00,2025-07-31T00:00:00+00:00,,,,,,
1753920000,1754006400,2025-07-31T00:00:00+00:00,2025-08-01T00:00:00+00:00,,,,,,
1754006400,1754092800,2025-08-01T00:00:00+00:00,2025-08-02T00:00:00+00:00,,,,,,
1754092800,1754179200,2025-08-02T00:00:00+00:00,2025-08-03T00:00:00+00:00,,,,,,
1754179200,1754265600,2025-08-03T00:00:00+00:00,2025-08-04T00:00:00+00:00,,,,,,
1754265600,1754352000,2025-08-04T00:00:00+00:00,2025-08-05T00:00:00+00:00,,,,,,
1754352000,1754438400,2025-08-05T00:00:00+00:00,2025-08-06T00:00:00+00:00,,,,,,
1754438400,1754524800,2025-08-06T00:00:00+00:00,2025-08-07T00:00:00+00:00,,,,,,
1754524800,1754611200,2025-08-07T00:00:00+00:00,2025-08-08T00:00:00+00:00,,,,,,
1754611200,1754697600,2025-08-08T00:00:00+00:00,2025-08-09T00:00:00+00:00,,,,,,
1754697600,1754784000,2025-08-09T00:00:00+00:00,2025-08-10T00:00:00+00:00,,,,,,
1754784000,1754870400,2025-08-10T00:00:00+00:00,2025-08-11T00:00:00+00:00,,,,,,
1754870400,1754956800,2025-08-11T00:00:00+00:00,2025-08-12T00:00:00+00:00,,,,,,
1754956800,1755043200,2025-08-12T00:00:00+00:00,2025-08-13T00:00:00+00:00,0.000164,usd,,,org-R3P9npFHsSRKutso3pUsA8rt,Personal
1755043200,1755129600,2025-08-13T00:00:00+00:00,2025-08-14T00:00:00+00:00,0.00269764,usd,,,org-R3P9npFHsSRKutso3pUsA8rt,Personal
